Variable Name,Nom de la variable,"Variable Code (2011-2012, 2012-2013) / Code de la variable (2011-2012, 2012-2013)",Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (2013-2018) / Code de la variable (2013-2018),Detection Limit (DL) /  Limite de détection de la méthode (DL),Variable Code / Code de la variable,Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (Metal45) / Code de la variable (Métaux45),Variable Code (Metals34) / Code de la variable (Métaux34),Detection Limit (DL) /  Limite de détection de la méthode (LD),Unit / Unité,Laboratory / Laboratoire ,,Notes/ Remarques
Acenaphtylene,Acénaphtylène,,,,,111131,0.002,,,,UG/L    ,ALET,,
Acenaphtene,Acénaphtène,,,,,111132,0.002,,,,UG/L    ,ALET,,
Fluorene,Fluorène,,,,,111138,0.002,,,,UG/L    ,ALET,,
Phenanthrene,Phénanthrène,,,,,111144,0.002,,,,UG/L    ,ALET,,
Anthracene,Athracène,,,,,111145,0.002,,,,UG/L    ,ALET,,
Fluoranthene,Fluoranthène,,,,,111150,0.002,,,,UG/L    ,ALET,,
Pyrene,Pyrène,,,,,111151,0.002,,,,UG/L    ,ALET,,
Benzo(a) Anthracene,Benzo(a)anthracène,,,,,111152,0.002,,,,UG/L    ,ALET,,
Chrysene,Chrysène,,,,,111153,0.002,,,,UG/L    ,ALET,,
Benzo(b) Fluranthene,Benzo(b)fluoranthène,,,,,111158,0.002,,,,UG/L    ,ALET,,
Benzo(k) Fluranthene,Benzo(k)fluoranthène,,,,,111159,0.002,,,,UG/L    ,ALET,,
Benzo (a) Pyrene,Benzo(a)pyrène,,,,,111161,0.002,,,,UG/L    ,ALET,,
"Indeno(1,2,3-c,d) Pyrene","Indéno(1,2,3-c,d)pyrène",,,,,111163,0.002,,,,UG/L    ,ALET,,
"Dibenzo(a,h) Anthracene","Dibenz(a,h)anthracène",,,,,111164,0.003,,,,UG/L    ,ALET,,
"Benzo (g,h,i) Perylene","Benzo(g,h,i)pérylène",,,,,111165,0.003,,,,UG/L    ,ALET,,
Dibenzothiophene,Dibenzothiophène,,,,,111133,0.002,,,,UG/L    ,ALET,,
Naphthalene-d8,Naphtalène-D8,,,,,111166,1,,,,%       ,ALET,,
Acenaphthene-d10,Acénaphtène-D10,,,,,111167,1,,,,%       ,ALET,,
Phenanthrene-d10,Phénanthrène-D10,,,,,111168,1,,,,%       ,ALET,,
Chrysene-d12,Chrysène-D12,,,,,111169,1,,,,%       ,ALET,,
Benzo(a)pyrene-d12,Benzo(a)pyrène-D12,,,,,111170,1,,,,%       ,ALET,,
Fluoranthene-d10,Fluoranthène-D10,,,,,111171,1,,,,%       ,ALET,,
"Benzo(g,h,i)perylene-d12","Benzo(g,h,i)pérylène-D12",,,,,111172,1,,,,%       ,ALET,,
Benzo (e) Pyrene,Benzo(e)pyrène,,,,,111160,0.002,,,,UG/L    ,ALET,,
Perylene,Pérylène,,,,,111162,0.002,,,,UG/L    ,ALET,,
C1-Naphthalenes,Naphtalène-C1 ,,,,,111124,0.002,,,,UG/L    ,ALET,,
C2-Naphthalenes,Naphtalène-C2 ,,,,,111125,0.002,,,,UG/L    ,ALET,,
C3-Naphthalenes,Naphtalène-C3 ,,,,,111126,0.002,,,,UG/L    ,ALET,,
C4-Naphthalenes,Naphtalène-C4 ,,,,,111127,0.002,,,,UG/L    ,ALET,,
C1-Dibenzothiophenes,Dibenzothiophène-C1,,,,,111134,0.002,,,,UG/L    ,ALET,,
C2-Dibenzothiophenes,Dibenzothiophène-C2,,,,,111135,0.002,,,,UG/L    ,ALET,,
C1-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C1 ,,,,,111136,0.002,,,,UG/L    ,ALET,,
C2-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C2,,,,,111137,0.002,,,,UG/L    ,ALET,,
C1-Fluorene,Fluorène-C1,,,,,111139,0.002,,,,UG/L    ,ALET,,
C2-Fluorene,Fluorène-C2,,,,,111140,0.002,,,,UG/L    ,ALET,,
C3-Fluorene,Fluorène-C3,,,,,111141,0.002,,,,UG/L    ,ALET,,
C4-Fluorene,Fluorène-C4,,,,,111142,0.002,,,,UG/L    ,ALET,,
C3-Dibenzothiophene,Dibenzothiophène-C3,,,,,111143,0.002,,,,UG/L    ,ALET,,
C1-Phenanthrene,Phénanthrène-C1,,,,,111146,0.002,,,,UG/L    ,ALET,,
C2-Phenanthrene,Phénanthrène-C2,,,,,111147,0.002,,,,UG/L    ,ALET,,
C3-Phenanthrene,Phénanthrène-C3,,,,,111148,0.002,,,,UG/L    ,ALET,,
C4-Phenanthrene,Phénanthrène-C4,,,,,111149,0.002,,,,UG/L    ,ALET,,
C1-Chrysene,Chrysène-C1,,,,,111154,0.002,,,,UG/L    ,ALET,,
C2-Chrysene,Chrysène-C2,,,,,111155,0.002,,,,UG/L    ,ALET,,
C3-Chrysene,Chrysène-C3,,,,,111156,0.002,,,,UG/L    ,ALET,,
C4-Chrysene,Chrysène-C4,,,,,111157,0.002,,,,UG/L    ,ALET,,
Biphenyl,Biphényle,,,,,111128,0.002,,,,UG/L    ,ALET,,
Naphthalene,Naphtalène,,,,,111268,35,,,,ng/L,ALET,,
Acenaphthylene,Acénaphtylène,,,,,111269,5,,,,ng/L,ALET,,
Acenaphthene,Acénaphtène,,,,,111270,8,,,,ng/L,ALET,,
Fluorene,Fluorène,,,,,111271,14,,,,ng/L,ALET,,
Phenanthrene,Phénanthrène,,,,,111272,13,,,,ng/L,ALET,,
Anthracene,Athracène,,,,,111273,5,,,,ng/L,ALET,,
Fluoranthene,Fluoranthène,,,,,111274,4,,,,ng/L,ALET,,
Pyrene,Pyrène,,,,,111275,4,,,,ng/L,ALET,,
Benzo(a)anthracene,Benzo(a)anthracène,,,,,111276,4,,,,ng/L,ALET,,
Chrysene,Chrysène,,,,,111277,6,,,,ng/L,ALET,,
Benzo(b)fluoranthene,Benzo(b)fluoranthène,,,,,111278,5,,,,ng/L,ALET,,
Benzo(k)fluoranthene,Benzo(k)fluoranthène,,,,,111279,5,,,,ng/L,ALET,,
Benzo(a)pyrene,Benzo(a)pyrène,,,,,111280,5,,,,ng/L,ALET,,
"Indeno(1,2,3-cd)pyrene","Indéno(1,2,3-c,d)pyrène",,,,,111281,3,,,,ng/L,ALET,,
"Dibenzo(a,h)anthracene","Dibenz(a,h)anthracène",,,,,111282,4,,,,ng/L,ALET,,
Benzo(ghi)perylene,"Benzo(g,h,i)pérylène",,,,,111283,4,,,,ng/L,ALET,,
DiBenzothiophene,Dibenzothiophène,,,,,111284,11,,,,ng/L,ALET,,
Naphthalene-d8,Naphtalène-D8,,,,,110580,1,,,,%,ALET,,
Acenaphthene-d10,Acénaphtène-D10,,,,,110581,1,,,,%,ALET,,
Phenanthrene-d10,Phénanthrène-D10,,,,,110582,1,,,,%,ALET,,
Chrysene-d12,Chrysène-D12,,,,,110583,1,,,,%,ALET,,
Benzo(a)pyrene-d12,Benzo(a)pyrène-D12,,,,,110584,1,,,,%,ALET,,
Fluoranthene-d10,Fluoranthène-D10,,,,,110585,1,,,,%,ALET,,
Benzo(ghi)perylene-d12,"Benzo(g,h,i)pérylène-D12",,,,,110586,1,,,,%,ALET,,
Benzo(e)pyrene,Benzo(e)pyrène,,,,,110611,5,,,,ng/L,ALET,,
Perylene,Pérylène,,,,,110612,3,,,,ng/L,ALET,,
C1-Naphthalenes,Naphtalène-C1,,,,,110587,50,,,,ng/L,ALET,,
C2-Naphthalenes,Naphtalène-C2,,,,,110588,68,,,,ng/L,ALET,,
C3-Naphthalenes,Naphtalène-C3,,,,,110589,17,,,,ng/L,ALET,,
C4-Naphthalenes,Naphtalène-C4,,,,,110590,18,,,,ng/L,ALET,,
C1-Dibenzothiophenes,Dibenzothiophène-C1,,,,,110591,16,,,,ng/L,ALET,,
C2-Dibenzothiophenes,Dibenzothiophène-C2,,,,,110592,13,,,,ng/L,ALET,,
C1-Fluoranthenes/pyrenes,Fluoranthène/pyrène-C1,,,,,110593,16,,,,ng/L,ALET,,
C2-Fluoranthenes/pyrenes,Fluoranthène/pyrène-C2,,,,,110594,5,,,,ng/L,ALET,,
C1-Fluorenes,Fluorène-C1,,,,,110595,12,,,,ng/L,ALET,,
C2-Fluorenes,Fluorène-C2,,,,,110596,8,,,,ng/L,ALET,,
C3-Fluorenes,Fluorène-C3,,,,,110597,8,,,,ng/L,ALET,,
C4-Fluorenes,Fluorène-C4,,,,,110598,10,,,,ng/L,ALET,,
C3-Dibenzothiophenes,Dibenzothiophène-C3,,,,,110599,10,,,,ng/L,ALET,,
C1-Phenanthrenes,Phénanthrène-C1,,,,,110600,14,,,,ng/L,ALET,,
C2-Phenanthrenes,Phénanthrène-C2,,,,,110601,6,,,,ng/L,ALET,,
C3-Phenanthrenes,Phénanthrène-C3,,,,,110602,8,,,,ng/L,ALET,,
C4-Phenanthrenes,Phénanthrène-C4,,,,,110603,5,,,,ng/L,ALET,,
C1-Chrysenes,Chrysène-C1,,,,,110604,23,,,,ng/L,ALET,,
C2-Chrysenes,Chrysène-C2,,,,,110605,4,,,,ng/L,ALET,,
C3-Chrysenes,Chrysène-C3,,,,,110606,6,,,,ng/L,ALET,,
C4-Chrysenes,Chrysène-C4,,,,,110607,5,,,,ng/L,ALET,,
Biphenyl,Biphényle,,,,,110608,18,,,,ng/L,ALET,,
C4-Dibenzothiophenes,Dibenzothiophène-C4,,,,,111228,3,,,,ng/L,ALET,,
C3-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C3,,,,,111229,3,,,,ng/L,ALET,,
C4-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C4,,,,,111230,2,,,,ng/L,ALET,,
C1-Benzopyrenes,Benzopyrènes-C1,,,,,111231,2,,,,ng/L,ALET,,
C2-Benzopyrenes,Benzopyrènes-C2,,,,,111232,2,,,,ng/L,ALET,,
Acridine,Acridine,,,,,111233,3,,,,ng/L,ALET,,
Carbazole,Carbazole,,,,,111234,7,,,,ng/L,ALET,,
"Indeno(1,2,3-cd)fluoranthene","Indéno(1,2,3-cd)fluoranthène",,,,,111235,3,,,,ng/L,ALET,,
Retene,Rétène,,,,,111236,3,,,,ng/L,ALET,,
SILVER TOTAL,Argent total,,,,,,,108664,107904,0.001,UG/L,NLET Burlington,,
ALUMINUM TOTAL,Aluminium total,,,,,,,108665,107905,0.5,UG/L,NLET Burlington,,
ARSENIC TOTAL,Arsenic  total,,,,,,,108666,107906,0.01,UG/L,NLET Burlington,,
BORON TOTAL,Bore  total,,,,,,,108667,107907,0.5,UG/L,NLET Burlington,,
BARIUM TOTAL,Baryum total,,,,,,,108668,107908,0.05,UG/L,NLET Burlington,,
BERYLLIUM TOTAL,Béryllium total,,,,,,,108669,107909,0.001,UG/L,NLET Burlington,,
BISMUTH TOTAL,Bismuth total,,,,,,,108670,107910,0.001,UG/L,NLET Burlington,,
CALCIUM TOTAL,Calcium total,,,,,,,108671,,0.05,MG/L,NLET Burlington,,
CADMIUM TOTAL,Cadmium total,,,,,,,108672,107911,0.001,UG/L,NLET Burlington,,
CERIUM TOTAL,Cérium total,,,,,,,108673,,0.001,UG/L,NLET Burlington,,
COBALT TOTAL,Cobalt total,,,,,,,108674,107913,0.002,UG/L,NLET Burlington,,
CHROMIUM TOTAL,Chrome total,,,,,,,108675,107914,0.01,UG/L,NLET Burlington,,
CESIUM TOTAL,Césium total,,,,,,,108676,,0.001,UG/L,NLET Burlington,,
COPPER TOTAL,Cuivre total,,,,,,,108677,107916,0.02,UG/L,NLET Burlington,,
IRON TOTAL,Fer total,,,,,,,108678,107917,0.5,UG/L,NLET Burlington,,
GALLIUM TOTAL,Gallium total,,,,,,,108679,107918,0.001,UG/L,NLET Burlington,,
GERMANIUM TOTAL,Germanium total,,,,,,,108681,,0.01,UG/L,NLET Burlington,,
INDIUM TOTAL,Indium total,,,,,,,108682,,0.001,UG/L,NLET Burlington,,
POTASSIUM TOTAL,Potassium dissous/filtré,,,,,,,108683,,0.01,MG/L,NLET Burlington,,
LANTHANUM TOTAL,Lanthane total,,,,,,,108684,107919,0.001,UG/L,NLET Burlington,,
LITHIUM TOTAL,Lithium total,,,,,,,108685,107920,0.01,UG/L,NLET Burlington,,
MAGNESIUM TOTAL,Magnésium total,,,,,,,108686,,0.005,MG/L,NLET Burlington,,
MANGANESE TOTAL,Manganèse total,,,,,,,108687,107921,0.05,UG/L,NLET Burlington,,
MOLYBDENUM TOTAL,Molybdène total,,,,,,,108688,107922,0.005,UG/L,NLET Burlington,,
SODIUM TOTAL,Sodium total,,,,,,,108689,,0.001,MG/L,NLET Burlington,,
NIOBIUM TOTAL,Niobium total,,,,,,,108690,,0.001,UG/L,NLET Burlington,,
NICKEL TOTAL,Nickel  total,,,,,,,108691,107924,0.02,UG/L,NLET Burlington,,
LEAD TOTAL,Plomb total,,,,,,,108692,107925,0.005,UG/L,NLET Burlington,,
PALLADIUM,Palladium total,,,,,,,108693,,0.001,UG/L,NLET Burlington,,
PLATINUM TOTAL,Platine total,,,,,,,108694,,0.001,UG/L,NLET Burlington, Note: DL 0.005 ug/L reported,
RUBIDIUM TOTAL,Rubidium total,,,,,,,108695,107928,0.001,UG/L,NLET Burlington,,
RHODIUM TOTAL,Rhodium total,,,,,,,108696,,0.001,UG/L,NLET Burlington,,
ANTIMONY TOTAL,Antimoine total,,,,,,,108697,107929,0.001,UG/L,NLET Burlington,,
SCANDIUM TOTAL,Scandium total,,,,,,,108698,,0.01,UG/L,NLET Burlington,,
SELENIUM TOTAL,Sélénium total,,,,,,,108699,107930,0.01,UG/L,NLET Burlington,,
TIN TOTAL,Étain total,,,,,,,108700,,0.005,UG/L,NLET Burlington,,
STRONTIUM TOTAL,Strontium total,,,,,,,108701,107932,0.05,UG/L,NLET Burlington,,
TELLURIUM TOTAL,Tellurium total,,,,,,,108702,,0.01,UG/L,NLET Burlington,,
TITANIUM TOTAL,Titane total,,,,,,,108703,,0.1,UG/L,NLET Burlington,,
THALLIUM TOTAL,Thallium total,,,,,,,108704,107934,0.001,UG/L,NLET Burlington,,
URANIUM TOTAL,Uranium total,,,,,,,108705,107935,0.0005,UG/L,NLET Burlington,,
VANADIUM TOTAL,Vanadium total,,,,,,,108706,107936,0.005,UG/L,NLET Burlington,,
TUNGSTEN TOTAL,Tungstène total,,,,,,,108707,,0.001,UG/L,NLET Burlington,,
YTTRIUM TOTAL,Yttrium total,,,,,,,108708,,0.001,UG/L,NLET Burlington,,
ZINC TOTAL,Zinc total,,,,,,,108709,107939,0.2,UG/L,NLET Burlington,,
ZIRCONIUM TOTAL,Zirconium total,,,,,,,108710,,0.1,UG/L,NLET Burlington,,
SILVER DISSOLVED,Argent dissous,,,,,,,108711,107940,0.001,UG/L,NLET Burlington,,
ALUMINUM DISSOLVED,Aluminium dissous,,,,,,,108712,107941,0.5,UG/L,NLET Burlington,,
ARSENIC DISSOLVED,Arsenic  dissous,,,,,,,108713,107942,0.01,UG/L,NLET Burlington,,
BORON DISSOLVED,Bore  dissous,,,,,,,108714,107943,0.5,UG/L,NLET Burlington,,
BARIUM DISSOLVED,Baryum dissous,,,,,,,108715,107944,0.05,UG/L,NLET Burlington,,
BERYLLIUM DISSOLVED,Béryllium dissous,,,,,,,108716,107945,0.001,UG/L,NLET Burlington,,
BISMUTH DISSOLVED,Bismuth dissous,,,,,,,108717,107946,0.001,UG/L,NLET Burlington,,
CALCIUM DISSOLVED,Calcium dissous,,,,,,,108718,,0.05,MG/L,NLET Burlington,,
CADMIUM DISSOLVED,Cadmium dissous,,,,,,,108719,107947,0.001,UG/L,NLET Burlington,,
CERIUM DISSOLVED,Cérium dissous,,,,,,,108720,107948,0.001,UG/L,NLET Burlington,,
COBALT DISSOLVED,Cobalt dissous,,,,,,,108721,107949,0.002,UG/L,NLET Burlington,,
CHROMIUM DISSOLVED,Chrome dissous,,,,,,,108722,107950,0.01,UG/L,NLET Burlington,,
CESIUM DISSOLVED,Césium dissous,,,,,,,108723,107951,0.001,UG/L,NLET Burlington,,
COPPER DISSOLVED,Cuivre dissous,,,,,,,108724,107952,0.02,UG/L,NLET Burlington,,
IRON DISSOLVED,Fer dissous,,,,,,,108725,107953,0.5,UG/L,NLET Burlington,,
GALLIUM DISSOLVED,Gallium dissous,,,,,,,108726,104954,0.001,UG/L,NLET Burlington,,
GERMANIUM DISSOLVED,Germanium dissous,,,,,,,108728,,0.01,UG/L,NLET Burlington,,
INDIUM DISSOLVED,Indium dissous,,,,,,,108729,,0.001,UG/L,NLET Burlington,,
POTASSIUM DISSOLVED,Potassium dissous/filtré,,,,,,,108730,,0.01,MG/L,NLET Burlington,,
LANTHANUM DISSOLVED,Lanthane dissous,,,,,,,108731,107955,0.001,UG/L,NLET Burlington,,
LITHIUM DISSOLVED,Lithium dissous,,,,,,,108732,107956,0.01,UG/L,NLET Burlington,,
MAGNESIUM DISSOLVED,Magnésium dissous,,,,,,,108733,,0.005,MG/L,NLET Burlington,,
MANGANESE DISSOLVED,Manganèse dissous,,,,,,,108734,107957,0.05,UG/L,NLET Burlington,,
MOLYBDENUM DISSOLVED,Molybdène dissous,,,,,,,108735,107958,0.005,UG/L,NLET Burlington,,
SODIUM DISSOLVED,Sodium dissous,,,,,,,108736,,0.001,MG/L,NLET Burlington,,
"NIOBIUM, DISSOLVED",Niobium dissous,,,,,,,108737,107959,0.001,UG/L,NLET Burlington,,
NICKEL DISSOLVED,Nickel  dissous,,,,,,,108738,107960,0.02,UG/L,NLET Burlington,,
LEAD DISSOLVED,Plomb dissous,,,,,,,108739,107961,0.005,UG/L,NLET Burlington,,
PALLADIUM DISSOLVED,Palladium dissous,,,,,,,108740,,0.001,UG/L,NLET Burlington,,
PLATINUM DISSOLVED,Platine dissous,,,,,,,108741,107963,0.001,UG/L,NLET Burlington,,
RUBIDIUM DISSOLVED,Rubidium dissous,,,,,,,108742,107964,0.001,UG/L,NLET Burlington,,
RHODIUM DISSOLVED,Rhodium dissous,,,,,,,108743,,0.001,UG/L,NLET Burlington,,
ANTIMONY DISSOLVED,Antimoine dissous,,,,,,,108744,107965,0.001,UG/L,NLET Burlington,,
SCANDIUM DISSOLVED,Scandium dissous,,,,,,,108745,,0.01,UG/L,NLET Burlington,,
SELENIUM DISSOLVED,Sélénium dissous,,,,,,,108746,107966,0.01,UG/L,NLET Burlington,,
TIN DISSOLVED,Étain dissous,,,,,,,108747,107967,0.005,UG/L,NLET Burlington,,
STRONTIUM DISSOLVED,Strontium dissous,,,,,,,108748,107968,0.05,UG/L,NLET Burlington,,
TELLURIUM DISSOLVED,Tellurium dissous,,,,,,,108749,,0.01,UG/L,NLET Burlington,,
TITANIUM DISSOLVED,Titane dissous,,,,,,,108750,,0.1,UG/L,NLET Burlington,,
THALLIUM DISSOLVED,Thallium dissous,,,,,,,108751,107970,0.001,UG/L,NLET Burlington,,
URANIUM DISSOLVED,Uranium dissous,,,,,,,108752,107971,0.0005,UG/L,NLET Burlington,,
VANADIUM DISSOLVED,Vanadium dissous,,,,,,,108753,107972,0.005,UG/L,NLET Burlington,,
TUNGSTEN DISSOLVED,Tungstène dissous,,,,,,,108754,107973,0.001,UG/L,NLET Burlington,,
YTTRIUM DISSOLVED,Yttrium dissous,,,,,,,108755,107974,0.001,UG/L,NLET Burlington,,
ZINC DISSOLVED,Zinc dissous,,,,,,,108756,107975,0.2,UG/L,NLET Burlington,,
ZIRCONIUM DISSOLVED,Zirconium dissous,,,,,,,108757,,0.1,UG/L,NLET Burlington,,
